timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778229935161,1369,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-47,,true,,576,445,60,60,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,1369,0,1150
1778229931160,5369,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-7,,true,,576,445,60,60,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,5369,0,5157
1778229931460,5072,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-10,,true,,576,445,60,60,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,5072,0,4861
1778229930661,5876,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-2,,true,,576,445,60,60,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,5876,0,5657
1778229933260,3277,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-28,,true,,576,445,60,60,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,3277,0,3055
1778229930860,5677,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-4,,true,,576,445,60,60,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,5677,0,5465
1778229931060,5477,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-6,,true,,576,445,60,60,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,5477,0,5256
1778229935960,577,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-55,,true,,576,445,60,60,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,577,0,345
1778229931360,5178,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-9,,true,,576,445,60,60,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,5178,0,4962
1778229934760,1777,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-43,,true,,576,445,60,60,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,1777,0,1554
1778229932060,4565,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-16,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,4565,0,4265
1778229935760,883,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-53,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,883,0,564
1778229933560,3084,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-31,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,3084,0,2770
1778229935059,1586,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-46,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,1586,0,1265
1778229931760,4894,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-13,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,4894,0,4576
1778229932460,4195,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-20,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,4195,0,3869
1778229936360,297,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-59,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,297,0,142
1778229935359,1299,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-49,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,1299,0,985
1778229932759,3900,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-23,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,3900,0,3586
1778229934261,2396,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-38,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,2396,0,2083
1778229933161,3496,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-27,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,3496,0,3185
1778229934460,2197,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-40,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,2197,0,1872
1778229936262,394,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-58,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,394,0,124
1778229932360,4296,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-19,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,4296,0,3959
1778229936060,596,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-56,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,596,0,287
1778229932960,3696,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-25,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,3696,0,3370
1778229933460,3195,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-30,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,3195,0,2861
